timestamp,neck_forward_angle,shoulder_slope,rounded_shoulder_angle,pelvic_tilt,spine_deviation,posture_score,classification
22-03-2026 17:14,39.06,9,173.83,11,14.5,73,WARNING
22-03-2026 17:14,39.4,11,175.64,12,43.5,64,WARNING
22-03-2026 17:14,38.77,13,174.24,9,44.5,63,WARNING
22-03-2026 17:14,39.32,6,173.78,19,17,69,WARNING
22-03-2026 17:14,40.8,11,157.36,13,27,69,WARNING
22-03-2026 17:14,46.76,5,152.2,16,1.5,71,WARNING
22-03-2026 17:14,45.51,4,150,11,1,73,WARNING
22-03-2026 17:14,36.9,29,159.51,13,39.5,53,WARNING
22-03-2026 17:14,38.63,18,165.52,30,53,50,WARNING
22-03-2026 17:14,27.3,25,,5,66,48,BAD
22-03-2026 17:14,32.2,1,174.95,7,12,79,GOOD
22-03-2026 17:14,37.9,12,167.28,3,3,71,WARNING
22-03-2026 17:14,36.68,19,169.71,9,20.5,66,WARNING
22-03-2026 17:14,34.98,18,164.09,,14.5,70,WARNING
22-03-2026 17:14,32.71,26,172.55,2,4,68,WARNING
22-03-2026 17:15,33.25,32,,13,17.5,50,WARNING
22-03-2026 17:15,33.81,15,,3,28.5,61,WARNING
22-03-2026 17:15,29.62,20,162.53,4,18,75,GOOD
22-03-2026 17:15,41.51,55,158.94,26,25,48,BAD
22-03-2026 17:15,45.39,53,155.68,31,13,48,BAD
22-03-2026 17:15,45.66,16,157.01,20,45,57,WARNING
22-03-2026 17:15,47.59,7,170.27,6,109,60,WARNING
22-03-2026 17:15,39.63,11,,,,44,BAD
22-03-2026 17:15,35.57,5,,,,46,BAD
22-03-2026 17:15,38.4,10,,,,46,BAD
22-03-2026 17:15,36.34,2,,,,46,BAD
22-03-2026 17:15,38.08,13,,,,41,BAD
22-03-2026 17:15,37.61,4,,,,46,BAD
22-03-2026 17:15,38.73,23,,,,27,BAD
22-03-2026 17:15,40.24,19,,,,32,BAD
22-03-2026 17:15,38.49,15,,,,38,BAD
22-03-2026 17:15,34.42,37,,,,17,BAD
22-03-2026 17:15,45.78,12,,,,43,BAD
22-03-2026 17:15,36.48,123,,,,10,BAD
22-03-2026 17:16,37.64,90,,,,10,BAD
22-03-2026 17:16,49.09,8,,,,46,BAD
22-03-2026 17:16,39.34,,157.91,2,7,73,WARNING
22-03-2026 17:16,39.36,2,158.46,4,9.5,73,WARNING
22-03-2026 17:16,43.6,2,153.62,2,8.5,73,WARNING
